bfs_nr,commune_ofs,canton,join_key,premium_region,log_pop_density,pop_density_2024,is_urban,pct_hh_1p,pct_hh_2p,pct_hh_3p,pct_hh_4p,pct_hh_5p_plus,pct_large_hh,pct_small_hh,social_assistance_rate,social_assistance_count,avg_premium_2025,avg_premium_2026,median_premium_2026,std_premium_2026,p10_premium_2026,p90_premium_2026,iqr_premium_2026,n_insurers_2026,premium_increase_pct,n_insurers_change,sa_estimated,sa_count_est
5804,Jorat-Menthue,VD,VD_H2,2,4.502029427068578,89.2,0.0,27.6,33.5,17.5,15.9,5.5,21.4,61.1,1.2,18.0,622.5,636.9,630.0,35.4,592.9,671.0,49.2,21.0,2.31,-2.0,1,1
5805,Oron,VD,VD_H2,2,5.49017662782248,241.3,0.0,33.4,29.8,14.6,15.6,6.6,22.2,63.2,4.6,282.0,622.5,636.9,630.0,35.4,592.9,671.0,49.2,21.0,2.31,-2.0,1,1
5806,Jorat-Mézières,VD,VD_H2,2,5.665041646339771,287.6,0.0,34.0,31.1,12.7,16.2,6.0,22.2,65.1,2.5,80.0,622.5,636.9,630.0,35.4,592.9,671.0,49.2,21.0,2.31,-2.0,1,1
5812,Champtauroz,VD,VD_H2,2,4.178992036282385,64.3,0.0,19.7,28.8,18.2,18.2,15.2,33.4,48.5,1.5,0.0,622.5,636.9,630.0,35.4,592.9,671.0,49.2,21.0,2.31,-2.0,1,1
5813,Chevroux,VD,VD_H2,2,4.745801315727837,114.1,0.0,27.7,38.0,14.6,15.5,4.2,19.7,65.7,2.0,11.0,622.5,636.9,630.0,35.4,592.9,671.0,49.2,21.0,2.31,-2.0,1,1
5816,Corcelles-près-Payerne,VD,VD_H2,2,5.510197725583535,246.2,0.0,31.7,31.3,15.1,14.5,7.3,21.8,63.0,5.8,168.0,622.5,636.9,630.0,35.4,592.9,671.0,49.2,21.0,2.31,-2.0,1,1
5817,Grandcour,VD,VD_H2,2,4.571613402459248,95.7,0.0,35.8,26.7,14.7,16.6,6.2,22.8,62.5,5.1,51.0,622.5,636.9,630.0,35.4,592.9,671.0,49.2,21.0,2.31,-2.0,1,1
5819,Henniez,VD,VD_H2,2,5.196838197598183,179.7,0.0,34.1,25.3,9.3,17.6,13.7,31.3,59.400000000000006,7.0,32.0,622.5,636.9,630.0,35.4,592.9,671.0,49.2,21.0,2.31,-2.0,1,1
5821,Missy,VD,VD_H2,2,4.821893169499378,123.2,0.0,26.7,34.7,14.0,13.3,11.3,24.6,61.400000000000006,2.6,10.0,622.5,636.9,630.0,35.4,592.9,671.0,49.2,21.0,2.31,-2.0,1,1
5822,Payerne,VD,VD_H2,2,6.100094711633431,444.9,0.0,38.8,27.4,14.3,12.1,7.4,19.5,66.19999999999999,8.4,888.0,622.5,636.9,630.0,35.4,592.9,671.0,49.2,21.0,2.31,-2.0,1,1
